Date,Quantity,UniqueItemCount,Net sales,Gross sales
2023-06-25,27.0,17,0.0,0.0
2023-06-26,36.0,19,0.0,0.0
2023-06-27,61.0,32,0.0,0.0
2023-06-28,32.0,18,0.0,0.0
2023-06-29,45.0,24,0.0,0.0
2023-06-30,35.0,26,0.0,0.0
2023-07-01,47.0,25,0.0,0.0
2023-07-02,64.0,30,0.0,0.0
2023-07-03,58.0,21,0.0,0.0
2023-07-04,29.0,17,0.0,0.0
2023-07-05,16.0,13,0.0,0.0
2023-07-06,54.0,28,0.0,0.0
2023-07-07,27.0,21,0.0,0.0
2023-07-08,37.0,25,0.0,0.0
2023-07-09,39.0,25,0.0,0.0
2023-07-10,41.0,20,0.0,0.0
2023-07-11,51.0,28,0.0,0.0
2023-07-12,30.0,17,0.0,0.0
2023-07-13,19.0,11,0.0,0.0
2023-07-14,70.0,31,0.0,0.0
2023-07-15,67.0,31,0.0,0.0
2023-07-16,36.0,21,0.0,0.0
2023-07-17,27.0,17,0.0,0.0
2023-07-18,37.0,19,0.0,0.0
2023-07-19,18.0,11,0.0,0.0
2023-07-20,26.0,20,0.0,0.0
2023-07-21,26.0,18,0.0,0.0
2023-07-22,57.0,31,0.0,0.0
2023-07-23,44.0,28,0.0,0.0
2023-07-24,38.0,22,0.0,0.0
2023-07-25,28.0,15,0.0,0.0
2023-07-26,23.0,15,0.0,0.0
2023-07-27,33.0,17,0.0,0.0
2023-07-28,31.0,24,0.0,0.0
2023-07-29,46.0,27,0.0,0.0
2023-07-30,42.0,23,0.0,0.0
2023-07-31,26.0,18,0.0,0.0
2023-08-01,30.0,19,0.0,0.0
2023-08-02,43.0,18,0.0,0.0
2023-08-03,37.0,20,0.0,0.0
2023-08-04,14.0,11,0.0,0.0
2023-08-05,51.0,29,0.0,0.0
2023-08-06,39.0,18,0.0,0.0
2023-08-07,31.0,19,0.0,0.0
2023-08-08,40.0,23,0.0,0.0
2023-08-09,35.0,24,0.0,0.0
2023-08-10,14.0,6,0.0,0.0
2023-08-11,42.0,22,0.0,0.0
2023-08-12,42.0,27,0.0,0.0
2023-08-13,53.0,29,0.0,0.0
2023-08-14,28.0,20,0.0,0.0
2023-08-15,31.0,20,0.0,0.0
2023-08-16,28.0,19,0.0,0.0
2023-08-17,5.0,5,0.0,0.0
2023-08-18,31.0,20,0.0,0.0
2023-08-19,48.0,26,0.0,0.0
2023-08-20,43.0,24,0.0,0.0
2023-08-21,16.0,12,0.0,0.0
2023-08-22,25.0,16,0.0,0.0
2023-08-23,53.0,22,0.0,0.0
2023-08-24,23.0,17,0.0,0.0
2023-08-25,48.0,28,0.0,0.0
2023-08-26,32.0,22,0.0,0.0
