Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
7/13/25 12:48 PM,1-3010,Sale,Signature Based,40005,Kinasih,,,1.000,24000.00,0.00,24000.00,10347.00,13653.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:47 PM,1-3009,Sale,,10009,kasmaran,,,1.000,22000.00,0.00,22000.00,11000.00,11000.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:46 PM,1-3008,Sale,Toast,11004,Roti Bakar Keju,,,1.000,13000.00,0.00,13000.00,6214.00,6786.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:46 PM,1-3008,Sale,Toast,11001,Roti Bakar Coklat,,,1.000,13000.00,0.00,13000.00,5955.00,7045.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:46 PM,1-3008,Sale,Signature Based,40002,Kopi Susu Ice,,,1.000,20000.00,0.00,20000.00,7735.00,12265.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:44 PM,1-3007,Sale,,10008,Rayu,,,1.000,22000.00,0.00,22000.00,11000.00,11000.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:44 PM,1-3007,Sale,Toast,11002,Roti Bakar Klasik,,,1.000,13000.00,0.00,13000.00,4853.00,8147.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:43 PM,1-3006,Sale,,10015,Cheese Cake,,,1.000,28000.00,0.00,28000.00,22000.00,6000.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:43 PM,1-3006,Sale,,10008,Rayu,,,1.000,22000.00,0.00,22000.00,11000.00,11000.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:42 PM,1-3005,Sale,,10015,Cheese Cake,,,1.000,28000.00,0.00,28000.00,22000.00,6000.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:42 PM,1-3005,Sale,Milk Based,20006,Matcha Ice,,,1.000,23000.00,0.00,23000.00,7376.00,15624.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:41 PM,1-3004,Sale,Espresso Based,30004,Black Ice,,,2.000,34000.00,0.00,34000.00,11282.00,22718.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:40 PM,1-3003,Sale,Signature Based,40005,Kinasih,,,2.000,48000.00,0.00,48000.00,20694.00,27306.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:39 PM,1-3002,Sale,Signature Based,40004,Husgendam Ice,,,1.000,23000.00,0.00,23000.00,9179.00,13821.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:39 PM,1-3002,Sale,Signature Based,40005,Kinasih,,,1.000,24000.00,0.00,24000.00,10347.00,13653.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 12:39 PM,1-3002,Sale,Signature Based,40008,Nirmala Ice,,,1.000,24000.00,0.00,24000.00,6852.00,17148.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 10:35 AM,1-3001,Sale,Espresso Based,30003,Black Hot,,,1.000,17000.00,0.00,17000.00,5587.00,11413.00,0.00,Takeout,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 10:31 AM,1-3000,Sale,Espresso Based,30003,Black Hot,,,1.000,17000.00,0.00,17000.00,5587.00,11413.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 10:31 AM,1-3000,Sale,Mie,90001,Mie Goreng,,,1.000,11000.00,0.00,11000.00,4880.00,6120.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 10:31 AM,1-3000,Sale,Add kitchen,13007,Add Telur,,,1.000,4000.00,0.00,4000.00,1667.00,2333.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/13/25 10:31 AM,1-3000,Sale,Tea Based,60004,Lychee Tea Ice,,,1.000,16000.00,0.00,16000.00,4975.00,11025.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/12/25 11:01 PM,1-2999,Sale,Signature Based,40002,Kopi Susu Ice,,,1.000,20000.00,0.00,20000.00,7735.00,12265.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
